S1_ZINDO,S1_TDDFT,S1_ML
3.678,4.9055,4.63765154870126
3.6675,4.5842,4.49161908830725
2.6019,3.2808,3.3161021995608
2.989,3.9265,3.81975146798684
3.8671,4.8995,4.88926527721891
3.7526,4.9955,4.68827376573457
4.2667,4.2631,4.87538152148123
2.9678,3.7522,3.69250687983304
3.0216,3.8326,3.75542683666848
3.9169,4.5342,4.49556684020614
3.6801,4.5692,4.65749255935489
2.493,3.4176,3.35573705577213
3.9897,5.2104,4.74806947761385
2.5354,2.653,2.79027549500493
3.4976,4.7831,4.87759633430101
3.6758,3.974,4.03530209349256
3.4639,4.544,4.40651600415074
3.4861,4.5672,4.6441150512654
3.5075,4.5242,4.46025385340922
3.4631,4.6737,4.64815554029397
2.505,2.5506,2.69303685162661
2.4882,3.3392,3.42410900857617
2.4267,3.2857,3.14435433240973
3.3722,4.7096,4.54073480281416
3.2613,4.0734,4.37258963507217
3.3462,3.5043,4.08550545732143
3.4145,3.6422,4.08248436301411
3.1395,3.8768,3.71058230456124
3.3112,4.1127,3.93058266998542
3.4348,4.499,4.34737870865655
3.7032,4.3289,4.7384643364598
4.0715,5.0854,5.22540707480686
3.5295,4.6984,4.46044084962963
3.9327,4.2166,4.44480354306009
2.5127,3.3849,3.40957019880067
2.4566,3.2871,3.14658642711963
2.5035,3.3148,3.25928584138175
2.8153,3.1202,3.625432734408
3.1737,3.946,3.94057453639699
2.3784,3.2697,3.04517512858448
3.5991,4.6555,4.37297422110268
2.5051,3.1887,3.2141404675462
3.6934,4.4057,4.41927769678334
2.5124,3.3508,3.31671725321451
3.5325,4.6589,4.49315680518641
2.4943,3.9549,3.48840874752581
2.509,3.3725,3.36505211252555
3.5342,4.5419,4.50551484455672
2.9614,4.0745,3.74291487371442
2.985,3.6547,3.67053966279364
3.6,4.2011,4.06413258273709
2.5841,3.3267,3.42757720836529
2.5877,3.427,3.45805773437676
2.5342,3.3133,3.32996662249332
3.7185,4.5759,4.57933674698937
3.6752,4.3361,4.53337078634179
4.2022,5.3238,5.39877062463579
2.5007,3.3955,3.35842675248916
2.4971,3.3489,3.31998230049493
4.3484,3.8238,4.61528296291736
3.4004,4.2522,4.48794607961099
2.5033,3.397,3.39638656080352
2.077,3.6366,2.88526140914955
3.1931,3.9057,3.67513095721987
2.5,3.3955,3.37039924248175
2.5012,2.8743,3.01545812349917
2.9132,4.0965,3.78423841981264
2.4886,3.2815,3.29180602591574
2.9885,4.3148,4.07365536619176
3.4915,4.6115,4.55753969718484
3.5629,3.7474,3.94103236743958
3.085,3.8207,3.73421505772164
3.1999,4.1458,3.91009431350604
2.8477,3.4975,3.58821529019248
2.4944,3.3941,3.4163986054634
3.1779,3.524,3.526384588378
3.17,3.5118,3.53230030836619
2.7805,3.582,3.57540554644671
2.9942,3.58,3.67418295048618
2.5961,3.657,3.61230849354219
3.364,3.4827,3.62905558522426
2.4934,3.3872,3.46529677695695
3.7987,4.5949,4.75861144827834
2.4561,3.3043,3.27879919298353
4.0855,5.2349,5.12363075143962
2.2499,3.1908,2.98302969675806
3.3819,3.829,3.84411519504662
2.6624,3.5672,3.28383191426672
3.5113,3.71,3.99897586490359
3.3927,4.215,4.26249949863785
2.4982,3.3865,3.92645266978837
3.4669,4.2541,4.14791101917937
3.4276,4.4086,4.53037996615103
3.2919,3.5157,3.48271460249194
2.5039,3.4011,3.4367093931712
3.2926,3.508,3.5419956817799
2.9527,3.5153,3.51844239498181
3.2466,4.1468,3.89015366847478
3.1677,3.3704,3.70554702663637
3.0278,4.0359,3.52916467508998
3.4588,4.4056,4.45875774527901
3.4748,4.3667,4.41948924362902
3.2161,3.6997,3.78523250602655
3.4914,3.688,4.13316175298125
2.9218,3.1587,3.35429746024288
2.8873,3.5333,3.54634224944806
2.5537,3.2906,3.27436992001964
4.2848,5.2819,5.15276011323749
3.8698,4.8843,5.01754273600961
4.1936,4.5611,5.04174418094682
3.6801,4.2478,4.66057955913719
3.5716,4.2403,4.14999240898603
3.8082,4.8926,4.87643224227029
3.2053,4.1294,4.01396499600303
2.8935,3.7183,3.64218886859472
3.8226,4.2921,4.46486154606134
3.2051,3.5931,4.10136917286682
2.8166,3.4276,3.40042656404176
3.3212,4.1097,4.43158072813379
3.9462,4.7606,4.5765177738098
3.5737,4.9802,4.90495960389267
4.1936,4.4821,4.69252753129712
2.6511,3.7488,3.33877728675223
3.6063,4.0511,4.20047920225522
1.1629,2.9065,1.99639869118253
3.2227,3.996,3.99992721416835
2.5124,3.3429,3.28688473910558
3.4433,4.5417,4.59491389983181
2.4889,3.3602,3.2635038370713
3.7261,4.5951,4.76182470225928
3.7973,4.7217,4.57761052114459
2.5445,3.4399,3.21774442450245
2.4972,3.3669,3.29829517579598
2.4949,3.3786,3.47879072288426
3.1395,3.154,3.42495854143616
2.4977,3.104,3.03917433897648
3.0677,3.7774,3.69482720407868
3.8089,4.6638,4.85017280310392
2.9712,3.6347,3.72287044721257
2.9228,3.478,3.54437182210771
2.4843,3.279,3.31467949313151
2.9878,3.652,3.72820605118691
3.2913,3.517,3.50466782224289
3.3632,3.9385,3.97980483909025
2.3387,3.2844,3.12045604231668
3.398,4.1015,4.11436784867
2.3684,3.3317,3.24999963623251
3.536,4.7085,4.81055112618672
2.4839,3.3356,3.32414365625782
2.5028,3.3991,3.46790942190295
3.3182,3.2594,3.88473477346513
3.728,4.6266,4.50624183411438
3.9246,5.2912,4.92886000356234
2.3375,3.1853,3.25789243296366
2.3464,3.1827,3.11681628918242
2.3422,3.1303,3.16897906013527
3.7442,3.7675,4.56370503392334
2.5306,3.6966,3.2347690995144
2.4925,3.3913,3.39275841726123
3.4894,3.9707,4.42056074003162
2.4984,3.353,3.35114957962491
3.063,4.0019,3.8499525965697
3.6865,4.2375,4.38673699868085
2.9676,3.4517,3.52529216521265
3.3575,3.7772,4.09969992875155
3.6534,4.7039,4.67699387505933
3.719,4.7301,4.59908867695259
3.2649,4.2339,4.4582828899823
3.2509,3.9015,3.98432651918963
2.5089,3.382,3.35136691598607
2.5181,3.3867,3.34891429294849
3.7248,4.6672,4.57064770038988
3.9535,5.111,5.1252975030734
2.4993,3.4199,3.40111265040856
2.511,3.2918,3.31679582598427
3.4954,3.8971,3.98460002778545
2.6107,3.3027,3.32090386190903
3.5066,4.01,4.15959918552744
3.0451,4.0158,3.83423509845009
3.652,4.7129,4.44801156905809
2.5947,3.2825,3.25391518064658
3.7734,4.4448,4.41884009926338
3.0796,3.8466,3.74935529605863
3.4493,4.3668,4.43044357332577
3.1694,3.664,3.69796104619654
3.5024,4.4785,4.29523157631985
3.3649,4.1736,4.06563658780662
3.3707,3.7514,4.05700188235018
3.4093,4.1268,4.19890939273629
2.4999,3.2333,3.39686377460293
2.4801,3.3355,3.26398023275234
2.5029,3.3818,3.32931961266307
3.2835,3.9849,3.61401496175822
2.4495,3.3358,3.33927579280161
3.5333,4.5864,4.62476553615645
2.5009,3.2824,3.2300556300407
2.5125,3.3608,3.37889610946201
3.1672,3.5678,4.049795557036
2.7188,3.4561,2.89114349337163
4.0953,4.1341,4.28756731931294
3.7244,4.6345,4.52008090786942
3.4907,4.4517,4.48206567058777
2.5872,2.8434,3.00560420942159
3.5763,4.1913,4.22439580655198
2.4963,3.3832,3.23249839697772
3.4265,4.2147,4.23362622034788
3.4706,4.0998,4.24728970657434
3.0048,3.4803,3.52421701112192
2.5063,3.2704,3.22755126658042
2.5003,3.3744,3.3146119809567
2.4946,3.3284,3.22647210640715
2.7815,3.3544,3.20107452489652
2.7293,3.2263,3.17569779987645
2.7937,3.4661,3.38340099836583
2.9143,3.69,3.64428011324972
2.483,3.3088,3.32016202810641
3.8866,4.8971,5.09251308560499
2.5032,3.4055,3.2829724949797
3.6,4.9778,4.86367476693724
4.1928,5.0005,5.25071901148302
3.6115,4.5033,4.57429774076354
2.6203,3.4849,3.45683739563722
3.665,4.2516,4.47939365549434
3.5095,4.2328,4.25557693660127
3.5691,4.9346,4.71946028010144
3.6911,3.9417,4.12189185461647
2.5174,3.3757,3.31647256660174
3.4651,4.5581,4.35361506636508
4.3811,4.9377,4.749005658342
4.0204,4.0633,4.56536723548276
2.8672,3.6104,3.63977633326945
3.5274,4.4581,4.51398947470548
2.9207,3.395,3.32735503265605
2.8464,3.968,3.80115274378047
2.499,3.3917,3.4053499628091
3.5616,4.5257,4.64625839639334
3.3223,4.393,4.33866597492894
3.9129,4.44,4.79794963537634
2.1588,2.5113,3.06815279078251
3.348,4.5684,4.43842840696067
3.4303,4.403,4.14891408652377
3.3355,3.9565,4.03608036285101
3.5405,4.9997,4.34329416022064
3.5108,4.1331,4.37351094870292
2.8156,3.338,3.52865975645806
3.4353,4.2374,4.22562911052678
3.3539,3.6637,3.71994482004076
2.4981,3.3878,3.52908907112747
3.3895,4.6186,4.41627940131865
3.2578,3.6643,3.99373516573214
3.5797,4.6765,4.38093928768838
3.39,4.5742,4.59678052348801
3.552,4.1849,4.28885723360666
3.8196,4.5715,4.37847547901206
2.9507,3.1938,3.16660673608682
3.3058,3.7337,3.68094390863963
3.4022,4.3138,4.43286859980921
